iter	Passed	Remaining
0	399	79404
1	720	71358
2	981	64442
3	1239	60748
4	1492	58218
5	1734	56077
6	1984	54702
7	2202	52852
8	2431	51607
9	2649	50340
10	2878	49460
11	3110	48726
12	3337	48010
13	3579	47554
14	3819	47107
15	4057	46665
16	4280	46076
17	4504	45550
18	4725	45020
19	4950	44550
20	5172	44086
21	5386	43583
22	5610	43175
23	5840	42833
24	6058	42412
25	6279	42021
26	6506	41691
27	6734	41369
28	6957	41026
29	7181	40694
30	7404	40368
31	7619	40004
32	7850	39727
33	8074	39424
34	8303	39145
35	8534	38877
36	8752	38560
37	8976	38266
38	9206	38006
39	9433	37733
40	9648	37416
41	9862	37101
42	10079	36801
43	10296	36504
44	10511	36207
45	10729	35920
46	10952	35653
47	11174	35385
48	11386	35088
49	11599	34797
50	11816	34523
51	12026	34228
52	12248	33972
53	12464	33701
54	12667	33395
55	12878	33116
56	13087	32833
57	13299	32561
58	13518	32306
59	13725	32027
60	13950	31788
61	14170	31541
62	14388	31289
63	14611	31048
64	14854	30850
65	15069	30595
66	15278	30329
67	15500	30089
68	15710	29827
69	15934	29592
70	16148	29339
71	16350	29066
72	16553	28798
73	16764	28545
74	16977	28296
75	17191	28049
76	17404	27802
77	17616	27554
78	17827	27306
79	18054	27081
80	18264	26833
81	18476	26588
82	18693	26351
83	18914	26119
84	19133	25885
85	19353	25654
86	19583	25436
87	19804	25205
88	20019	24968
89	20227	24722
90	20454	24500
91	20676	24272
92	20881	24025
93	21096	23789
94	21305	23548
95	21522	23316
96	21735	23079
97	21954	22850
98	22165	22613
99	22377	22377
100	22599	22151
101	22816	21921
102	23034	21692
103	23260	21471
104	23476	21240
105	23695	21013
106	23912	20783
107	24129	20555
108	24344	20323
109	24554	20090
110	24765	19856
111	24984	19630
112	25207	19407
113	25432	19186
114	25632	18945
115	25843	18714
116	26063	18489
117	26274	18258
118	26481	18024
119	26685	17790
120	26890	17556
121	27100	17326
122	27314	17099
123	27516	16865
124	27727	16636
125	27939	16409
126	28151	16181
127	28361	15953
128	28567	15723
129	28778	15496
130	28983	15266
131	29191	15038
132	29398	14809
133	29610	14584
134	29830	14362
135	30040	14136
136	30253	13912
137	30472	13690
138	30695	13470
139	30903	13244
140	31115	13020
141	31317	12791
142	31514	12561
143	31729	12339
144	31941	12115
145	32147	11890
146	32358	11666
147	32566	11442
148	32779	11219
149	32990	10996
150	33207	10775
151	33412	10551
152	33617	10326
153	33834	10106
154	34048	9885
155	34263	9664
156	34478	9443
157	34688	9221
158	34912	9002
159	35159	8789
160	35401	8575
161	35646	8361
162	35885	8145
163	36104	7925
164	36331	7706
165	36557	7487
166	36771	7266
167	36987	7045
168	37208	6825
169	37435	6606
170	37666	6387
171	37896	6169
172	38124	5950
173	38347	5730
174	38561	5508
175	38780	5288
176	38997	5067
177	39220	4847
178	39442	4627
179	39676	4408
180	39902	4188
181	40118	3967
182	40351	3748
183	40641	3534
184	40880	3314
185	41105	3093
186	41335	2873
187	41559	2652
188	41794	2432
189	42020	2211
190	42255	1991
191	42504	1771
192	42743	1550
193	42981	1329
194	43217	1108
195	43431	886
196	43674	665
197	43888	443
198	44116	221
199	44333	0
